id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
66188,Fresco,2010,479,6.99077,7.24926,13269,0,,,,116,,332,,
251658,Sprawlopolis,2018,480,6.99041,7.30435,11182,0,,,,113,,341,,
318182,"Imperium: Legends",2021,481,6.98929,7.86047,4025,0,,,,,,265,,
292375,"The Great Wall",2021,482,6.9885,7.84622,4420,0,,,,,,278,,
40765,"Clash of Cultures",2012,483,6.98705,7.57024,5823,0,,,,,,291,,
161614,Stockpile,2015,484,6.98596,7.44482,7306,0,,,,,,315,,
206480,"Imperial Struggle",2020,485,6.9847,8.2474,2849,0,,,,,,248,,5
100901,"Flash Point: Fire Rescue",2011,486,6.98421,7.154,24527,0,,,,132,,,145,
154809,Nippon,2015,487,6.98365,7.62802,4987,0,,,,,,276,,
55670,Macao,2009,488,6.98305,7.40387,7525,0,,,,,,308,,
215341,"Thunderstone Quest",2018,489,6.98284,7.75748,4537,0,,,,,,282,,
62222,"Commands & Colors: Napoleonics",2010,490,6.98161,8.05183,3323,0,,,,,,,,11
27162,Kingsburg,2007,491,6.98152,7.17231,19800,0,,,,125,,357,,
124708,"Mice and Mystics",2012,492,6.97914,7.22361,19804,0,,,,,,,141,
121,Dune,1979,493,6.97914,7.58909,5912,0,,,,,,323,103,
264241,Mandala,2019,494,6.9782,7.48954,6353,0,8,,,98,,,,
36932,Claustrophobia,2009,495,6.97817,7.47073,7080,0,,,,,,,109,
355093,Woodcraft,2022,496,6.97776,7.64189,5040,0,,,,,,293,,
63628,"The Manhattan Project",2012,497,6.97467,7.31798,9970,0,,,,,,336,,
243,"Advanced Squad Leader",1985,498,6.97448,8.00937,3865,0,,,,,,,,16
18833,"Lord of the Rings: The Confrontation",2005,499,6.97385,7.49434,6493,0,,,,,,317,,
150,PitchCar,1995,500,6.97357,7.26712,11143,0,,,,120,23,,,
156858,"Black Orchestra",2016,501,6.97245,7.49855,6661,0,,,,,,,108,
333255,"Keep the Heroes Out!",2022,502,6.972,8.00675,3667,0,,,,,,,88,
192153,"Reign of Cthulhu",2016,503,6.97106,7.36468,10485,0,,,,,,382,128,
11170,"Heroscape Master Set: Rise of the Valkyrie",2004,504,6.96936,7.4528,8314,0,,29,,,,,120,
316412,"The LOOP",2020,505,6.96894,7.73187,4600,0,,,,,,309,,
256730,Pipeline,2019,506,6.96573,7.58791,5204,0,,,,,,303,,
96913,Lancaster,2011,507,6.96462,7.38826,7605,0,,,,,,321,,
356033,"Libertalia: Winds of Galecrest",2022,508,6.96411,7.47658,6658,0,,,,106,,325,,
169427,"Middara: Unintentional Malum – Act 1",2019,509,6.96383,8.57826,2578,0,,,,,,,41,
286751,"Zombicide: 2nd Edition",2021,510,6.9625,7.97221,4079,0,,,,,,,97,
66362,"Glen More",2010,511,6.96234,7.2968,9337,0,,,,,,331,,
328565,"Caper: Europe",2022,512,6.96213,7.69108,4529,0,,,,94,,,,
79828,"A Few Acres of Snow",2011,513,6.962,7.37313,8011,0,,,,,,329,,86
175095,"Dawn of the Zeds (Third Edition)",2016,514,6.96097,8.16599,2851,0,,,,,,,55,
